subject_tree,object_tree,predicate_tree,sentence,parse_tree,subject,object_,predicate
Acheron  ,"a   modern river in Acarnania ( Epirus ) , which occasion- ally   runs   underground", is ,"the banks of the river were said to be peopled by the shades of the dead .  ===acheron   is   also   the   name   of   a   modern river in acarnania ( epirus ) , which occasion- ally   runs   underground .  ===near   its   mouth there   was   a   famous   oracle   of   the   dead ,   at ephyra , where mortals could obtain advice from   the   gods   of   the   underworld .  ","Acheron | nsubj | PROPN | [ ]
marry | ccomp | NOUN | [Aeneas, Dido]
Queen | compound | PROPN | []
Dido | dobj | PROPN | [Queen]
. | punct | PUNCT | []",she,hostile,was
Trojans (she),Vesta, was ,"the   trojans   should   forget their   native   tongue   and   customs   and   adopt italian manners and language .  ===though   juno   had   great   cultic   status   in rome ,   she   was   perhaps   outshone   by   vesta .===however , she was especially beloved , as tradi- tion   stated   that   in   390   b.c. her   sacred   geese cackled to warn of the impending attack on the capitoline hill by gauls .","Though | dep | PROPN | [ ]
  |  | SPACE | []
Juno | nsubj | PROPN | [ ]
  |  | SPACE | []
had | advcl | VERB | [Though, Juno,  , status, in, ,]
  |  | SPACE | []
great | amod | ADJ | [ ]
  |  | SPACE | []
cultic | amod | ADJ | [ ]
  |  | SPACE | []
status | dobj | NOUN | [great, cultic,  ]
  |  | SPACE | []
in | prep | ADP | [Rome]
Rome | pobj | PROPN | []
, | punct | PUNCT | [ ]
  |  | SPACE | []
she | nsubj | PRON | [ ]
  |  | SPACE | []
was | ROOT | VERB | [had, she,  , outshone, .]
  |  | SPACE | []
perhaps | advmod | ADV | [ ]
  |  | SPACE | []
outshone | dep | ADJ | [perhaps,  , by]
  |  | SPACE | []
by | prep | ADP | [ , Vesta]
  |  | SPACE | []
Vesta | pobj | NOUN | []
. | punct | PUNCT | []",she,Vesta,was
"The   ancient   capital ,   Sparta ,   also known as Lacedaemon ,",the administra- tive center, is ,"see also : fates , the   laconia   greek   ancient region in southwestern greece , now a department .  ===the   ancient   capital ,   sparta ,   also known as lacedaemon , is still the administra- tive center .  ===lacus curtius   roman  ","The | det | DET | [ ]
  |  | SPACE | []
ancient | amod | ADJ | [ ]
  |  | SPACE | []
capital | nsubj | NOUN | [The, ancient, ,, Sparta, ,, known, ,]
, | punct | PUNCT | [ ]
  |  | SPACE | []
Sparta | appos | PROPN | []
, | punct | PUNCT | [ ]
  |  | SPACE | []
also | advmod | ADV | []
known | acl | VERB | [also, as]
as | prep | ADP | [Lacedaemon]
Lacedaemon | pobj | PROPN | []
, | punct | PUNCT | []
is | ROOT | VERB | [capital, still, center, .]
still | advmod | ADV | []
the | det | DET | []
administra- | amod | ADJ | []
tive | amod | ADJ | []
center | attr | NOUN | [the, administra-, tive]
. | punct | PUNCT | [ ]
  |  | SPACE | []",capital,center,is
Apuleius (she),a   bogeywoman   whose   name was invoked to frighten children, was ,this pair would tear open a sleeping man ’s breast and take away his heart .===in later belief she was sim- ply   named   as   a   bogeywoman   whose   name was invoked to frighten children .  ===lamus greek  ,"In | prep | ADP | [belief]
later | amod | ADJ | []
belief | pobj | NOUN | [later]
she | nsubj | PRON | []
was | ROOT | VERB | [In, she, ply, .]
sim- | dep | NOUN | []
ply | xcomp | NOUN | [sim-,  , named]
  |  | SPACE | []
named | acl | VERB | [ , as, bogeywoman]
  |  | SPACE | []
as | prep | ADP | [ ]
  |  | SPACE | []
a | det | DET | [ ]
  |  | SPACE | []
bogeywoman | oprd | NOUN | [a,  , invoked]
  |  | SPACE | []
whose | poss | ADJ | [ ]
  |  | SPACE | []
name | nsubjpass | NOUN | [whose]
was | auxpass | VERB | []
invoked | relcl | VERB | [name, was, frighten]
to | aux | PART | []
frighten | advcl | VERB | [to, children]
children | dobj | NOUN | []
. | punct | PUNCT | [ ]
  |  | SPACE | []",she,bogeywoman,was
Heracles (he),Zeus  , received ,"she was exposed   naked   to   be   devoured   by   the   great beast , but heracles killed the monster and so saved   her .  ===once   again   laomedon   refused   to give the specified reward — the white horses he had   received   from   zeus   in   exchange   for   his son   ganymede .  ===heracles ,   however ,   later returned with telamon and theseus , possibly on   his   way   back   from   gaining   the   girdle   of   larentia  ","Once | advmod | ADV | [ ]
  |  | SPACE | []
again | advmod | ADV | [Once,  ]
  |  | SPACE | []
Laomedon | nsubj | PROPN | [ ]
  |  | SPACE | []
refused | ccomp | VERB | [again, Laomedon,  , give]
  |  | SPACE | []
to | aux | PART | []
give | advcl | VERB | [to, reward]
the | det | DET | []
specified | amod | ADJ | []
reward | dobj | NOUN | [the, specified]
— | punct | PUNCT | []
the | det | DET | []
white | amod | ADJ | []
horses | nsubj | NOUN | [the, white, had]
he | nsubj | PRON | []
had | relcl | VERB | [he,  ]
  |  | SPACE | []
received | ROOT | VERB | [refused, —, horses,  , from, in, .]
  |  | SPACE | []
from | prep | ADP | [ , Zeus]
  |  | SPACE | []
Zeus | pobj | PROPN | [ ]
  |  | SPACE | []
in | prep | ADP | [ , exchange]
  |  | SPACE | []
exchange | pobj | NOUN | [ , for]
  |  | SPACE | []
for | prep | ADP | [ , son]
  |  | SPACE | []
his | poss | ADJ | []
son | pobj | NOUN | [his,  , Ganymede]
  |  | SPACE | []
Ganymede | appos | PROPN | []
. | punct | PUNCT | [ ]
  |  | SPACE | []",he,Zeus,received
Evander (she),"the wife of Aeneas ,", is ,"lavinia roman   daughter of latinus , king of latium , though some   sources   make   her   the   daughter   of evander .  ===sometimes   said   to   be   the   wife   of hercules , she is more often the wife of aeneas , her hand being fought over by aeneas and his great   rival ,   turnus ,   the   rutulian   prince   of ardea .===aeneas   subsequently   built   the   city   of lavinium in her honor .  ","Sometimes | advmod | ADV | [ ]
  |  | SPACE | []
said | advcl | VERB | [Sometimes,  , to, be]
  |  | SPACE | []
to | prep | ADP | [ ]
  |  | SPACE | []
be | advcl | NOUN | [ , wife]
  |  | SPACE | []
the | det | DET | [ ]
  |  | SPACE | []
wife | appos | NOUN | [the,  , of]
  |  | SPACE | []
of | prep | ADP | [Hercules]
Hercules | pobj | PROPN | []
, | punct | PUNCT | []
she | nsubj | PRON | []
is | ROOT | VERB | [said, ,, she, often, wife, fought, .]
more | advmod | ADV | []
often | advmod | ADV | [more]
the | det | DET | []
wife | attr | NOUN | [the, of, ,]
of | prep | ADP | [Aeneas]
Aeneas | pobj | PROPN | []
, | punct | PUNCT | []
her | poss | ADJ | []
hand | nsubjpass | NOUN | [her]
being | auxpass | VERB | []
fought | ccomp | VERB | [hand, being, over, by]
over | prt | PART | []
by | agent | ADP | [Aeneas]
Aeneas | pobj | PROPN | [and, rival]
and | cc | CCONJ | []
his | poss | ADJ | []
great | amod | ADJ | [ ]
  |  | SPACE | []
rival | conj | NOUN | [his, great, ,, Turnus, ,, prince]
, | punct | PUNCT | [ ]
  |  | SPACE | []
Turnus | appos | PROPN | []
, | punct | PUNCT | [ ]
  |  | SPACE | []
the | det | DET | [ ]
  |  | SPACE | []
Rutulian | amod | PROPN | [ ]
  |  | SPACE | []
prince | appos | NOUN | [the, Rutulian,  , of]
  |  | SPACE | []
of | prep | ADP | [Ardea]
Ardea | pobj | PROPN | []
. | punct | PUNCT | []",she,wife,is
Hera,satisfied, was ,"she   finally gave   birth   to   artemis   under   a   palm   tree   on ortygia and to apollo beside a palm on delos , though   some   say   that   delos   was   originally called ortygia , so the twins were born on the same island .===hera was still not satisfied , and as leto   came   to   delphi   with   her   daughter , artemis ,   the   goddess   sent   the   giant   tityus   to violate her .===he was dispatched by apollo and artemis .","Hera | nsubj | PROPN | []
was | ROOT | VERB | [Hera, still, not, satisfied, ,, and, came]
still | advmod | ADV | []
not | neg | ADV | []
satisfied | acomp | ADJ | []
, | punct | PUNCT | []
and | cc | CCONJ | []
as | mark | ADP | []
Leto | nsubj | PROPN | [ ]
  |  | SPACE | []
came | conj | VERB | [as, Leto,  , to, .]
  |  | SPACE | []
to | prep | ADP | [ , Delphi]
  |  | SPACE | []
Delphi | pobj | PROPN | [ , with]
  |  | SPACE | []
with | prep | ADP | [ , daughter]
  |  | SPACE | []
her | poss | PRON | [ ]
  |  | SPACE | []
daughter | pobj | NOUN | [her, ,, Artemis, ,, goddess, sent]
, | punct | PUNCT | []
Artemis | appos | PROPN | []
, | punct | PUNCT | [ ]
  |  | SPACE | []
the | det | DET | [ ]
  |  | SPACE | []
goddess | appos | NOUN | [the,  ]
  |  | SPACE | []
sent | acl | VERB | [ , Tityus, violate]
  |  | SPACE | []
the | det | DET | [ ]
  |  | SPACE | []
giant | amod | NOUN | [ ]
  |  | SPACE | []
Tityus | dobj | PROPN | [the, giant,  ]
  |  | SPACE | []
to | aux | PART | []
violate | advcl | VERB | [to, her]
her | dobj | PRON | []
. | punct | PUNCT | []",Hera,satisfied,was
Leucothea  ,benevolent   to   sailors   in   dis- tress   and  , was ,"see also : dioscuri   leucothea   greek   sea goddess who was formerly ino , her form being   altered   when   she   leaped   into   the   sea .===leucothea   was   benevolent   to   sailors   in   dis- tress   and   once ,   aided   by   athene ,   helped odysseus , after he had been shipwrecked by poseidon ,   to   the   island   of   scheria ,   home   of nausicaa .  ===linus 191   appears in statues wearing the phrygian cap of liberty .","Leucothea | nsubj | PROPN | [ ]
  |  | SPACE | []
was | ROOT | VERB | [Leucothea,  , benevolent, once, ,, aided, ,, shipwrecked, .]
  |  | SPACE | []
benevolent | acomp | ADJ | [ , to]
  |  | SPACE | []
to | prep | ADP | [ , sailors]
  |  | SPACE | []
sailors | pobj | NOUN | [ , in, tress]
  |  | SPACE | []
in | prep | ADP | [ ]
  |  | SPACE | []
dis- | amod | ADJ | []
tress | appos | NOUN | [dis-,  , and]
  |  | SPACE | []
and | cc | CCONJ | [ ]
  |  | SPACE | []
once | advmod | ADV | []
, | punct | PUNCT | [ ]
  |  | SPACE | []
aided | advcl | VERB | [ , by]
  |  | SPACE | []
by | prep | ADP | [ , Athene]
  |  | SPACE | []
Athene | pobj | PROPN | [,, Odysseus]
, | punct | PUNCT | [ ]
  |  | SPACE | []
helped | amod | VERB | []
Odysseus | appos | PROPN | [helped]
, | punct | PUNCT | []
after | mark | ADP | []
he | nsubjpass | PRON | []
had | aux | VERB | []
been | auxpass | VERB | []
shipwrecked | advcl | VERB | [after, he, had, been, by, ,, to]
by | agent | ADP | [Poseidon]
Poseidon | pobj | PROPN | []
, | punct | PUNCT | [ ]
  |  | SPACE | []
to | prep | ADP | [ , island]
  |  | SPACE | []
the | det | DET | [ ]
  |  | SPACE | []
island | pobj | NOUN | [the,  , of]
  |  | SPACE | []
of | prep | ADP | [ , Scheria]
  |  | SPACE | []
Scheria | pobj | PROPN | [,, home]
, | punct | PUNCT | [ ]
  |  | SPACE | []
home | advmod | NOUN | [ , of]
  |  | SPACE | []
of | prep | ADP | [Nausicaa]
Nausicaa | pobj | PROPN | []
. | punct | PUNCT | [ ]
  |  | SPACE | []",Leucothea,benevolent,was
"A musician and poet , the son of Apollo , and ,",the lyre, taught ,"linus greek   1 .===a musician and poet , the son of apollo , and , usually , one of the muses , he taught the lyre to thamyris ,   orpheus ,   and   heracles .  ===he   is   the personification   of   a   dirge   that   was   sung   to mourn   the   dying   vegetation   at   harvest   time .","A | det | DET | []
musician | nsubj | NOUN | [A, and, poet, ,, son, ,, and, ,]
and | cc | CCONJ | []
poet | conj | NOUN | []
, | punct | PUNCT | []
the | det | DET | []
son | appos | NOUN | [the, of]
of | prep | ADP | [Apollo]
Apollo | pobj | PROPN | []
, | punct | PUNCT | []
and | cc | CCONJ | []
, | punct | PUNCT | []
usually | advmod | ADV | []
, | punct | PUNCT | []
one | npadvmod | NUM | [of]
of | prep | ADP | [Muses]
the | det | DET | []
Muses | pobj | PROPN | [the]
, | punct | PUNCT | []
he | nsubj | PRON | []
taught | ROOT | VERB | [musician, usually, ,, one, ,, he, lyre, to, .]
the | det | DET | []
lyre | dobj | NOUN | [the]
to | dative | ADP | [Thamyris]
Thamyris | pobj | PROPN | [,, Orpheus]
, | punct | PUNCT | [ ]
  |  | SPACE | []
Orpheus | appos | PROPN | [,, and, Heracles]
, | punct | PUNCT | [ ]
  |  | SPACE | []
and | cc | CCONJ | [ ]
  |  | SPACE | []
Heracles | conj | PROPN | []
. | punct | PUNCT | [ ]
  |  | SPACE | []",musician,lyre,taught
"Aeolus ( 2 )   Macaria   Greek   Daughter   of   Heracles ,   thus   one   of   the   Hera- cleidae , who committed suicide after an oracle demanded   the   sacrifice   of   one   of   Heracles’ children   if Athens ,   in   which   the   Heracleidae had   sought   sanctuary ,  ",be   saved   from the attack mounted by Eurystheus, was ,"their daugh- ter , issa , was one of those beloved by apollo .  ===see also : aeolus ( 2 )   macaria   greek   daughter   of   heracles ,   thus   one   of   the   hera- cleidae , who committed suicide after an oracle demanded   the   sacrifice   of   one   of   heracles’ children   if athens ,   in   which   the   heracleidae had   sought   sanctuary ,   was   to   be   saved   from the attack mounted by eurystheus .===following the   self - sacrifice   of   macaria ,   eurystheus   was defeated by either iolaus or hyllus and finally dispatched by alcmene .  ","See | ccomp | PROPN | [also, :]
also | advmod | ADV | []
: | punct | PUNCT | []
Aeolus | nsubj | PROPN | [2, Macaria]
( | punct | PUNCT | []
2 | appos | NUM | [(, )]
) | punct | PUNCT | [ ]
  |  | SPACE | []
Macaria | appos | PROPN | [ , Daughter]
  |  | SPACE | []
Greek | amod | PROPN | [ ]
  |  | SPACE | []
Daughter | appos | NOUN | [Greek,  , of, ,, one]
  |  | SPACE | []
of | prep | ADP | [ , Heracles]
  |  | SPACE | []
Heracles | pobj | PROPN | []
, | punct | PUNCT | [ ]
  |  | SPACE | []
thus | advmod | ADV | [ ]
  |  | SPACE | []
one | appos | NUM | [thus,  , of]
  |  | SPACE | []
of | prep | ADP | [ , cleidae]
  |  | SPACE | []
the | det | DET | [ ]
  |  | SPACE | []
Hera- | amod | NOUN | []
cleidae | pobj | NOUN | [the, Hera-, ,, committed]
, | punct | PUNCT | []
who | nsubj | NOUN | []
committed | relcl | VERB | [who, suicide, demanded]
suicide | dobj | NOUN | []
after | mark | ADP | []
an | det | DET | []
oracle | nsubj | NOUN | [an]
demanded | advcl | VERB | [after, oracle,  , sacrifice, in, had]
  |  | SPACE | []
the | det | DET | [ ]
  |  | SPACE | []
sacrifice | dobj | NOUN | [the,  , of, one, if, ,]
  |  | SPACE | []
of | prep | ADP | [ ]
  |  | SPACE | []
one | appos | NUM | [ , of]
  |  | SPACE | []
of | prep | ADP | [ , children]
  |  | SPACE | []
Heracles’ | compound | PROPN | []
children | pobj | NOUN | [Heracles’,  ]
  |  | SPACE | []
if | punct | ADP | [Athens]
Athens | pobj | PROPN | []
, | punct | PUNCT | [ ]
  |  | SPACE | []
in | prep | ADP | [ ]
  |  | SPACE | []
which | dobj | ADJ | [ ]
  |  | SPACE | []
the | det | DET | [ ]
  |  | SPACE | []
Heracleidae | nsubj | PROPN | [the]
had | ccomp | VERB | [which, Heracleidae,  , sought]
  |  | SPACE | []
sought | ccomp | VERB | [ , sanctuary, ,]
  |  | SPACE | []
sanctuary | dobj | NOUN | []
, | punct | PUNCT | [ ]
  |  | SPACE | []
was | ROOT | VERB | [See, Aeolus,  , to, be, .]
  |  | SPACE | []
to | prep | ADP | [ ]
  |  | SPACE | []
be | acomp | VERB | [ , saved]
  |  | SPACE | []
saved | dep | VERB | [ , from]
  |  | SPACE | []
from | prep | ADP | [attack]
the | det | DET | []
attack | pobj | NOUN | [the, mounted]
mounted | acl | VERB | [by]
by | agent | ADP | [Eurystheus]
Eurystheus | pobj | PROPN | []
. | punct | PUNCT | []",Aeolus,be,was
Medusa,the only mortal Gorgon, was ,"medusa   greek   daughter of the sea deities phorcys and ceto , sister to the graeae and sister to stheno and euryale===, medusa was the only mortal gorgon .===she   and   her   sisters   had   once   been   beautiful , but   medusa   lay   with   poseidon   in   one   of   the temples   sacred   to   athene ,   and   in   revenge athene altered their appearance , turning them into winged monsters with brazen claws and serpent   hair ,   so   hideous   that  ",", | punct | PUNCT | []
Medusa | nsubj | PROPN | []
was | ROOT | VERB | [,, Medusa, Gorgon, .]
the | det | DET | []
only | amod | ADJ | []
mortal | amod | ADJ | [the, only]
Gorgon | attr | PROPN | [mortal]
. | punct | PUNCT | []",Medusa,Gorgon,was
Hermes’ (he),amazed to see the winged horse Pegasus and the warrior Chrysaor spring fully grown from her body, was ,"he then   successfully   beheaded   the   gorgon   with hermes’ sickle and concealed the power of the head in the special leather bag .===as he did so , perseus was amazed to see the winged horse pegasus and the warrior chrysaor spring fully grown from her body .===these fabulous beings were   the   children   of   poseidon ,   begotten   on medusa when she lay with the great sea god in the temple of athene .  ","As | mark | ADP | []
he | nsubj | PRON | []
did | advcl | VERB | [As, he, so]
so | advmod | ADV | []
, | punct | PUNCT | []
Perseus | nsubj | PROPN | []
was | ROOT | VERB | [did, ,, Perseus, amazed, .]
amazed | acomp | ADJ | [see]
to | aux | PART | []
see | xcomp | VERB | [to, grown]
the | det | DET | []
winged | amod | ADJ | []
horse | nsubj | NOUN | [the, winged, Pegasus, spring]
Pegasus | appos | PROPN | [and, warrior]
and | cc | CCONJ | []
the | det | DET | []
warrior | conj | ADJ | [the]
Chrysaor | compound | ADJ | []
spring | appos | NOUN | [Chrysaor]
fully | advmod | ADV | []
