subject_tree,object_tree,predicate_tree,sentence,parse_tree,subject,object_,predicate
Acheron,"the name of a modern river in Acarnania ( Epirus ) , which occasion- ally runs underground", is also,"the banks of the river were said to be peopled by the shades of the dead .  ===acheron is also the name of a modern river in acarnania ( epirus ) , which occasion- ally runs underground .===near its mouth there was a famous oracle of the dead , at ephyra , where mortals could obtain advice from the gods of the underworld .","Acheron | nsubj | PROPN | []
and | cc | CCONJ | []
Autonoë | conj | PROPN | []
, | punct | PUNCT | []
killed | conj | VERB | [in, ,, son, .]
Agave | poss | PROPN | [’s]
’s | case | PART | []
son | dobj | NOUN | [Agave, ,, Pentheus]
, | punct | PUNCT | []
Pentheus | appos | PROPN | []
. | punct | PUNCT | []",Ino,votary,was
echo (he),Palaemon,became known as,melicertes was washed ashore and buried by sisyphus .===thereafter he became known as palaemon and was honored in the isthmian games .===ino herself became the sea goddess leucothea .,"Thereafter | advmod | ADV | []
he | nsubjpass | PRON | []
became | auxpass | VERB | []
known | ROOT | ADJ | [Thereafter, he, became, as, and, honored, .]
as | prep | ADP | [Palaemon]
Palaemon | pobj | PROPN | []
and | cc | CCONJ | []
was | auxpass | VERB | []
honored | conj | VERB | [was, in]
in | prep | ADP | [Games]
the | det | DET | []
Isthmian | compound | PROPN | []
Games | pobj | PROPN | [the, Isthmian]
. | punct | PUNCT | []",he,Palaemon,known
She and Palaemon,helpers to sailors in time of distress, were ,ino herself became the sea goddess leucothea .===she and palaemon were helpers to sailors in time of distress and are notable for their help of odysseus .  ===see also :,"She | nsubj | PRON | [and, Palaemon]
and | cc | CCONJ | []
Palaemon | conj | PROPN | []
were | ROOT | VERB | [She, helpers, and, are, .]
helpers | attr | NOUN | [to, in]
to | prep | ADP | [sailors]
sailors | pobj | NOUN | []
in | prep | ADP | [time]
time | pobj | NOUN | [of]
of | prep | ADP | [distress]
distress | pobj | NOUN | []
and | cc | CCONJ | []
are | conj | VERB | [notable]
notable | acomp | ADJ | [for]
for | prep | ADP | [help]
their | poss | ADJ | []
help | pobj | NOUN | [their, of]
of | prep | ADP | [Odysseus]
Odysseus | pobj | PROPN | []
. | punct | PUNCT | [ ]
  |  | SPACE | []",She,helpers,were
Irene,the god- dess and personification of peace, was ,"see also : oedipus   irene greek  ===called pax by the romans , irene was the god- dess and personification of peace .===worshipped in athens she was , at least according to homer , one of the horae , the daughters of zeus and themis .  ","Called | advcl | PROPN | [Pax, by]
Pax | oprd | PROPN | []
by | prep | ADP | [Romans]
the | det | DET | []
Romans | pobj | PROPN | [the]
, | punct | PUNCT | []
Irene | nsubj | PROPN | []
was | ROOT | VERB | [Called, ,, Irene, dess, .]
the | det | DET | []
god- | amod | ADJ | []
dess | attr | NOUN | [the, god-, and, personification]
and | cc | CCONJ | []
personification | conj | NOUN | [of]
of | prep | ADP | [peace]
peace | pobj | NOUN | []
. | punct | PUNCT | []",Irene,dess,was
giants (she),"Homer , one of the Horae , the daughters of Zeus and Themis", was ,"called pax by the romans , irene was the god- dess and personification of peace .===worshipped in athens she was , at least according to homer , one of the horae , the daughters of zeus and themis .  ===iris greek  ","Worshipped | advcl | VERB | [in]
in | prep | ADP | [Athens]
Athens | pobj | PROPN | []
she | nsubj | PRON | []
was | ROOT | VERB | [Worshipped, she, ,, according, .]
, | punct | PUNCT | []
at | advmod | ADP | []
least | advmod | ADJ | [at]
according | prep | VERB | [least, to]
to | prep | ADP | [Homer]
Homer | pobj | PROPN | [,, one]
, | punct | PUNCT | []
one | appos | NUM | [of]
of | prep | ADP | [Horae]
the | det | DET | []
Horae | pobj | PROPN | [the, ,, daughters]
, | punct | PUNCT | []
the | det | DET | []
daughters | appos | NOUN | [the, of]
of | prep | ADP | [Zeus]
Zeus | pobj | PROPN | [and, Themis]
and | cc | CCONJ | []
Themis | conj | PROPN | []
. | punct | PUNCT | [ ]
  |  | SPACE | []",she,Homer,was
giants (she),even men-, is not even,"the personification of the rainbow , the guise in which she acts as a messenger to zeus , bringing his message down to earth .===though she appears in homer ’s iliad as a general ser- vant to the gods , personal messenger of zeus , and bodyguard to hera , she is not even men- tioned in the slightly later odyssey .===iris was depicted as a gold - winged , swift - footed maid- en wearing talaria , the winged sandals more commonly seen as an attribute of hermes .","Though | mark | ADP | []
she | nsubj | PRON | []
appears | advcl | VERB | [Though, she, in, as]
in | prep | ADP | [Iliad]
Homer | poss | PROPN | [’s]
’s | case | PART | []
Iliad | pobj | PROPN | [Homer]
as | prep | ADP | [vant]
a | det | DET | []
general | amod | ADJ | []
ser- | compound | NOUN | []
vant | pobj | ADJ | [a, general, ser-, to]
to | prep | ADP | [gods]
the | det | DET | []
gods | pobj | NOUN | [the, ,, messenger]
, | punct | PUNCT | []
personal | amod | ADJ | []
messenger | appos | NOUN | [personal, of, ,, and, bodyguard]
of | prep | ADP | [Zeus]
Zeus | pobj | PROPN | []
, | punct | PUNCT | []
and | cc | CCONJ | []
bodyguard | conj | NOUN | [to]
to | prep | ADP | [Hera]
Hera | pobj | PROPN | []
, | punct | PUNCT | []
she | nsubj | PRON | []
is | ROOT | VERB | [appears, ,, she, not, men-, tioned, .]
not | neg | ADV | []
even | advmod | ADV | []
men- | acomp | ADV | [even]
tioned | acomp | VERB | [in]
in | prep | ADP | [Odyssey]
the | det | DET | []
slightly | advmod | ADV | []
later | amod | ADJ | [slightly]
Odyssey | pobj | PROPN | [the, later]
. | punct | PUNCT | []",she,men-,is
giants (she),one of those loved by Apollo, was ,"issa greek   daughter of macareus===, she was one of those loved by apollo .  ===see also : apollo   isthmian games   greek   quadrennial games held to honor poseidon on the isthmus of corinth , land that was awarded to poseidon by zeus in an ownership dispute with athene .  ",", | punct | PUNCT | []
she | nsubj | PRON | []
was | ROOT | VERB | [,, she, one, .]
one | attr | NUM | [of]
of | prep | ADP | [those]
those | pobj | DET | [loved]
loved | acl | VERB | [by]
by | agent | ADP | [Apollo]
Apollo | pobj | PROPN | []
. | punct | PUNCT | [ ]
  |  | SPACE | []",she,one,was
jinx (he),indicative of the chaos out of which order finally came, are ,"he may have been an early sun god , his aspect as the god of begin- nings indicating that he presided over the creation of the world .===additionally , his two faces , though he may once have had four , are indicative of the chaos out of which order finally came , for having too many faces would make him confused .===janus took prece- dence over all the gods , even jupiter , the sun , the moon , and all the heavenly bodies .","Additionally | advmod | ADV | []
, | punct | PUNCT | []
his | poss | ADJ | []
two | nummod | NUM | []
faces | nsubj | NOUN | [his, two]
, | punct | PUNCT | []
though | mark | ADP | []
he | nsubj | PRON | []
may | aux | VERB | []
once | advmod | ADV | []
have | aux | VERB | []
had | advcl | VERB | [though, he, may, once, have, four]
four | dobj | NUM | []
, | punct | PUNCT | []
are | ROOT | VERB | [Additionally, ,, faces, ,, had, ,, indicative, ,, for, .]
indicative | acomp | ADJ | [of]
of | prep | ADP | [chaos]
the | det | DET | []
chaos | pobj | NOUN | [the, out, came]
out | prep | ADP | [of]
of | prep | ADP | []
which | det | ADJ | []
order | nsubj | NOUN | [which]
finally | advmod | ADV | []
came | relcl | VERB | [order, finally]
, | punct | PUNCT | []
for | prep | ADP | [having]
having | pcomp | VERB | [make]
too | advmod | ADV | []
many | amod | ADJ | [too]
faces | nsubj | NOUN | [many]
would | aux | VERB | []
make | ccomp | VERB | [faces, would, confused]
him | nsubj | PRON | []
confused | ccomp | ADJ | [him]
. | punct | PUNCT | []",he,indicative,are
centaur (she),hostile to him, was always,"depicted as a statuesque , matronly fig- ure who was especially worshipped by women , juno was also goddess of light and childbirth , being known as lucina in this aspect .  ===in the roman tradition applied to the trojan aeneas , she was always hostile to him , at one stage forcing his ships ashore at carthage , though she was persuaded by venus , aeneas ’s roman mother , to allow aeneas to marry queen dido .===leaving carthage on the instruc- tions of jupiter , aeneas arrived at drepanum , where juno led some of his followers’ wives to set fire to four of his five ships .","In | prep | ADP | [tradition]
the | det | DET | []
Roman | amod | ADJ | []
tradition | pobj | NOUN | [the, Roman]
applied | ccomp | VERB | [In, to]
to | prep | ADP | [Aeneas]
the | det | DET | []
Trojan | compound | PROPN | []
Aeneas | pobj | PROPN | [the, Trojan]
, | punct | PUNCT | []
she | nsubj | PRON | []
was | ROOT | VERB | [applied, ,, she, always, hostile, ,, forcing, persuaded, .]
always | advmod | ADV | []
hostile | acomp | ADJ | [to]
to | prep | ADP | [him]
him | pobj | PRON | []
, | punct | PUNCT | []
at | prep | ADP | [stage]
one | nummod | NUM | []
stage | pobj | NOUN | [one]
forcing | advcl | VERB | [at, ships, ashore, at, ,]
his | poss | ADJ | []
ships | dobj | NOUN | [his]
ashore | advmod | ADV | []
at | prep | ADP | [Carthage]
Carthage | pobj | PROPN | []
, | punct | PUNCT | []
though | mark | ADP | []
she | nsubjpass | PRON | []
was | auxpass | VERB | []
persuaded | advcl | VERB | [though, she, was, by, allow]
by | agent | ADP | [Venus]
Venus | pobj | PROPN | [,, mother, ,]
, | punct | PUNCT | []
Aeneas | poss | PROPN | [’s]
’s | case | PART | []
Roman | amod | ADJ | []
mother | appos | NOUN | [Aeneas, Roman]
, | punct | PUNCT | []
to | aux | PART | []
allow | xcomp | VERB | [to, marry]
Aeneas | nsubj | PROPN | []
to | aux | PART | []
marry | ccomp | VERB | [Aeneas, to, Dido]
Queen | compound | PROPN | []
Dido | dobj | PROPN | [Queen]
. | punct | PUNCT | []",she,hostile,was
"The ancient capital , Sparta , also known as Lacedaemon",the administra- tive center, is still,"see also : fates , the   laconia   greek   ancient region in southwestern greece , now a department .===the ancient capital , sparta , also known as lacedaemon , is still the administra- tive center .  ===lacus curtius   roman   site in the forum at rome that was said to have derived its name from mettius curtius , the sabine champion whose horse foundered in the swamps on the site of the later forum .  ","The | det | DET | []
ancient | amod | ADJ | []
capital | nsubj | NOUN | [The, ancient, ,, Sparta, ,, known]
, | punct | PUNCT | []
Sparta | appos | PROPN | []
, | punct | PUNCT | []
also | advmod | ADV | []
known | acl | VERB | [also, as]
as | prep | ADP | [Lacedaemon]
Lacedaemon | pobj | PROPN | []
, | punct | PUNCT | []
is | ROOT | VERB | [capital, ,, still, center, .]
still | advmod | ADV | []
the | det | DET | []
administra- | amod | ADJ | []
tive | amod | ADJ | []
center | attr | NOUN | [the, administra-, tive]
. | punct | PUNCT | [ ]
  |  | SPACE | []",capital,center,is
ate (she),sim- ply named as a bogeywoman whose name was invoked to frighten children, was ,this pair would tear open a sleeping man ’s breast and take away his heart .===in later belief she was sim- ply named as a bogeywoman whose name was invoked to frighten children .  ===lamus greek  ,"In | prep | ADP | [belief]
later | amod | ADJ | []
belief | pobj | NOUN | [later]
she | nsubj | PRON | []
was | ROOT | VERB | [In, she, ply, .]
sim- | compound | NOUN | []
ply | attr | VERB | [sim-, named]
named | acl | VERB | [as]
as | prep | ADP | [bogeywoman]
a | det | DET | []
bogeywoman | pobj | NOUN | [a, invoked]
whose | poss | ADJ | []
name | nsubjpass | NOUN | [whose]
was | auxpass | VERB | []
invoked | relcl | VERB | [name, was, frighten]
to | aux | PART | []
frighten | advcl | VERB | [to, children]
children | dobj | NOUN | []
. | punct | PUNCT | [ ]
  |  | SPACE | []",she,ply,was
Hera,satisfied, was still not,"she finally gave birth to artemis under a palm tree on ortygia and to apollo beside a palm on delos , though some say that delos was originally called ortygia , so the twins were born on the same island .===hera was still not satisfied , and as leto came to delphi with her daughter , artemis , the goddess sent the giant tityus to violate her .===he was dispatched by apollo and artemis .","Hera | nsubj | PROPN | []
was | ROOT | VERB | [Hera, still, not, satisfied, ,, and, sent]
still | advmod | ADV | []
not | neg | ADV | []
satisfied | acomp | ADJ | []
, | punct | PUNCT | []
and | cc | CCONJ | []
as | mark | ADP | []
Leto | nsubj | PROPN | []
came | advcl | VERB | [as, Leto, to, with]
to | prep | ADP | [Delphi]
Delphi | pobj | PROPN | []
with | prep | ADP | [daughter]
her | poss | ADJ | []
daughter | pobj | NOUN | [her, ,, Artemis]
, | punct | PUNCT | []
Artemis | appos | PROPN | []
, | punct | PUNCT | []
the | det | DET | []
goddess | nsubj | NOUN | [the]
sent | conj | VERB | [came, ,, goddess, Tityus, violate, .]
the | det | DET | []
giant | compound | ADJ | []
Tityus | dobj | PROPN | [the, giant]
to | aux | PART | []
violate | advcl | VERB | [to, her]
her | dobj | PRON | []
. | punct | PUNCT | []",Hera,satisfied,was
Leucothea,benevolent to sailors in dis- tress, was ,"see also : dioscuri   leucothea   greek   sea goddess who was formerly ino , her form being altered when she leaped into the sea .===leucothea was benevolent to sailors in dis- tress and once , aided by athene , helped odysseus , after he had been shipwrecked by poseidon , to the island of scheria , home of nausicaa .  ===linus 191   appears in statues wearing the phrygian cap of liberty .","Leucothea | nsubj | PROPN | []
was | ROOT | VERB | [Leucothea, benevolent, and, helped, .]
benevolent | acomp | ADJ | [to]
to | prep | ADP | [sailors]
sailors | pobj | NOUN | [in]
in | prep | ADP | [tress]
dis- | amod | ADJ | []
tress | pobj | NOUN | [dis-]
and | cc | CCONJ | []
once | advmod | ADV | []
, | punct | PUNCT | []
aided | advcl | VERB | [by]
by | agent | ADP | [Athene]
Athene | pobj | PROPN | []
, | punct | PUNCT | []
helped | conj | VERB | [once, ,, aided, ,, Odysseus, ,, shipwrecked]
Odysseus | dobj | PROPN | []
, | punct | PUNCT | []
after | mark | ADP | []
he | nsubjpass | PRON | []
had | aux | VERB | []
been | auxpass | VERB | []
shipwrecked | advcl | VERB | [after, he, had, been, by, ,, to]
by | agent | ADP | [Poseidon]
Poseidon | pobj | PROPN | []
, | punct | PUNCT | []
to | prep | ADP | [island, home]
the | det | DET | []
island | pobj | NOUN | [the, of, ,]
of | prep | ADP | [Scheria]
Scheria | pobj | PROPN | []
, | punct | PUNCT | []
home | pobj | NOUN | [of]
of | prep | ADP | [Nausicaa]
Nausicaa | pobj | PROPN | []
. | punct | PUNCT | [ ]
  |  | SPACE | []",Leucothea,benevolent,was
"A musician and poet , the son of Apollo , and ,",the lyre, taught ,"linus greek   1 .===a musician and poet , the son of apollo , and , usually , one of the muses , he taught the lyre to thamyris , orpheus , and heracles .===he is the personification of a dirge that was sung to mourn the dying vegetation at harvest time .","A | det | DET | []
musician | nsubj | NOUN | [A, and, poet, ,, son, ,, and, ,]
and | cc | CCONJ | []
poet | conj | NOUN | []
, | punct | PUNCT | []
the | det | DET | []
son | appos | NOUN | [the, of]
of | prep | ADP | [Apollo]
Apollo | pobj | PROPN | []
, | punct | PUNCT | []
and | cc | CCONJ | []
, | punct | PUNCT | []
usually | advmod | ADV | []
, | punct | PUNCT | []
one | npadvmod | NUM | [of]
of | prep | ADP | [Muses]
the | det | DET | []
Muses | pobj | PROPN | [the]
, | punct | PUNCT | []
he | nsubj | PRON | []
taught | ROOT | VERB | [musician, usually, ,, one, ,, he, lyre, to, .]
the | det | DET | []
lyre | dobj | NOUN | [the]
to | dative | ADP | [Thamyris]
Thamyris | pobj | PROPN | [,, Orpheus]
